speaker	countInScene	sceneNum	sceneMarker
Arthur	1	1	scene
Brain	1	1	scene
Arthur	1	1	scene
Arthur	1	1	scene
Arthur	1	1	scene
Arthur	1	1	scene
Arthur	1	1	scene
Francine Frensky	1	1	scene
Jane	1	1	scene
Jane	1	1	scene
Jane	1	1	scene
Arthur	1	1	scene
Jane	1	1	scene
Arthur	1	1	scene
Binky	1	1	scene
Buster	1	1	scene
Binky	1	1	scene
Sue Ellen	1	1	scene
Binky	1	1	scene
Arthur	1	1	scene
Sue Ellen	1	1	scene
Arthur	1	1	scene
Sue Ellen	1	1	scene
Brain	1	1	scene
Sue Ellen	1	1	scene
Buster	1	1	scene
Brain	1	1	scene
Arthur	1	1	scene
Buster	1	1	scene
Sue Ellen	1	1	scene
Brain	1	1	scene
Arthur	1	1	scene
Buster	1	1	scene
Arthur	1	1	scene
D.W. Read	1	1	scene
Arthur	1	1	scene
D.W.	1	1	scene
Arthur	1	1	scene
Arthur	1	1	scene
Jane	1	1	scene
Arthur	1	1	scene
David Read	1	1	scene
Arthur	1	1	scene
Jane	1	1	scene
Arthur	1	1	scene
David	1	1	scene
Arthur	1	1	scene
Sue Ellen	1	1	scene
Arthur	1	1	scene
Sue Ellen	1	1	scene
Arthur	1	1	scene
Brain	1	1	scene
Sue Ellen	1	1	scene
Buster	1	1	scene
Binky	1	1	scene
Arthur	1	1	scene
David	1	1	scene
Buster, Binky, Brain, and Sue Ellen	1	1	scene
David	1	1	scene
Arthur	1	1	scene
Arthur	1	1	scene
Binky	1	1	scene
Arthur	1	1	scene
Binky	1	1	scene
Arthur	1	1	scene
Brain	1	1	scene
Arthur	1	1	scene
Jane	1	1	scene
Jane	1	1	scene
Arthur	1	1	scene
Jane	1	1	scene
Jane	1	1	scene
Binky	1	1	scene
Buster	1	1	scene
Arthur	1	1	scene
Arthur	1	1	scene
Binky	1	1	scene
Brain	1	1	scene
Arthur	1	1	scene
Brain	1	1	scene
Arthur	1	1	scene
Arthur	1	1	scene
Brain	1	1	scene
D.W.	1	1	scene
Arthur	1	1	scene
Brain	1	1	scene
Sue Ellen	1	1	scene
Arthur	1	1	scene
Brain	1	1	scene
David	1	1	scene
Jane	1	1	scene
D.W.	1	1	scene
Jane	1	1	scene
Arthur	1	1	scene
Sue Ellen	1	1	scene
Arthur	1	1	scene
Sue Ellen	1	1	scene
Arthur	1	1	scene
Brain	1	1	scene
Jane	1	1	scene
Arthur, Brain, and Sue Ellen	1	1	scene
Arthur	1	1	scene
Jane	1	1	scene
Arthur	1	1	scene
Buster	1	1	scene
Arthur	1	1	scene
David	1	1	scene
David	1	1	scene
D.W.	1	1	scene
Arthur	1	1	scene
D.W.	1	1	scene
Arthur	1	1	scene
Jane	1	1	scene
Jane	1	1	scene
Buster, Binky, Brain and Sue Ellen	1	1	scene
Brain	1	1	scene
Binky	1	1	scene
David	1	1	scene
Arthur	1	1	scene
Binky	1	1	scene
Arthur	1	1	scene
Binky	1	1	scene
Buster	1	1	scene
Arthur	1	1	scene
Binky	1	1	scene
Arthur	1	1	scene
